2.000000000000000000e+00,4.000000000000000000e+00,6.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+01,1.200000000000000000e+01,1.400000000000000000e+01,1.600000000000000000e+01,1.800000000000000000e+01
1.806704659946262836e+00,9.454088285565376282e-06,1.950608566403388977e-05,3.650109283626079559e-05,7.708813063800334930e-05,1.616240479052066803e-04,2.814198378473520279e-04,4.792839754372835159e-04,7.773048710078001022e-04
1.110788434743881226e-05,7.098075002431869507e-06,1.480593346059322357e-05,3.381306305527687073e-05,1.579129602760076523e-04,1.521869562566280365e-04,2.815681509673595428e-04,4.748648498207330704e-04,8.809769060462713242e-04
9.755138307809829712e-06,6.564892828464508057e-06,1.423596404492855072e-05,3.295904025435447693e-05,7.931003347039222717e-05,1.642098650336265564e-04,2.813700120896100998e-04,4.754418041557073593e-04,7.847601082175970078e-04
6.230082362890243530e-06,6.715068593621253967e-06,1.362292096018791199e-05,3.279116936028003693e-05,8.728285320103168488e-05,1.581248361617326736e-04,2.796179614961147308e-04,5.075659137219190598e-04,7.555109914392232895e-04
5.831010639667510986e-06,6.526941433548927307e-06,1.323502510786056519e-05,3.280397504568099976e-05,8.454918861389160156e-05,1.570479944348335266e-04,2.824049443006515503e-04,4.753530956804752350e-04,8.135840762406587601e-04
5.363021045923233032e-06,6.106914952397346497e-06,1.366902142763137817e-05,4.483200609683990479e-05,8.415989577770233154e-05,1.643178984522819519e-04,2.780500799417495728e-04,6.170859560370445251e-04,7.607869338244199753e-04
5.126930773258209229e-06,6.110873073339462280e-06,1.327693462371826172e-05,4.507391713559627533e-05,8.387514390051364899e-05,1.652990467846393585e-04,2.810219302773475647e-04,5.059749819338321686e-04,8.621527813374996185e-04
5.115056410431861877e-06,6.230082362890243530e-06,1.340382732450962067e-05,3.247288987040519714e-05,8.513405919075012207e-05,1.900091301649808884e-04,2.792060840874910355e-04,5.120960995554924011e-04,8.228321094065904617e-04
4.770932719111442566e-06,2.419413067400455475e-05,1.331395469605922699e-05,3.273901529610157013e-05,7.329089567065238953e-05,1.568959560245275497e-04,2.811399754136800766e-04,4.770320374518632889e-04,8.021171670407056808e-04
4.560919478535652161e-06,5.841022357344627380e-06,1.348298974335193634e-05,4.517496563494205475e-05,8.086697198450565338e-05,1.585870049893856049e-04,2.786710392683744431e-04,4.900300409644842148e-04,7.599580567330121994e-04
