1.000000000000000000e+01,2.000000000000000000e+01,3.000000000000000000e+01,4.000000000000000000e+01,5.000000000000000000e+01,6.000000000000000000e+01,7.000000000000000000e+01
9.859702549874782562e-05,1.747014001011848450e-03,7.472285069525241852e-03,2.542861504480242729e-02,6.533303810283541679e-02,1.463890909217298031e-01,2.794860659632831812e-01
9.766104631125926971e-05,1.410797005519270897e-03,7.572961039841175079e-03,2.531422197353094816e-02,6.648783094715327024e-02,1.450583650730550289e-01,2.668624019715934992e-01
9.763508569449186325e-05,1.483140047639608383e-03,7.464666035957634449e-03,2.516722993459552526e-02,6.554133200552314520e-02,1.479672919958829880e-01,2.661231519887223840e-01
9.138591121882200241e-05,1.440281048417091370e-03,7.447424926795065403e-03,2.525138307828456163e-02,6.491262093186378479e-02,1.464336690260097384e-01,2.808346479432657361e-01
8.638203144073486328e-05,1.433219993487000465e-03,7.428548997268080711e-03,2.494251402094960213e-02,6.545198895037174225e-02,1.479439180111512542e-01,2.657013810239732265e-01
9.278301149606704712e-05,1.481226994656026363e-03,7.535813958384096622e-03,2.520449191797524691e-02,6.522354204207658768e-02,1.466538670938462019e-01,2.666342080337926745e-01
9.225599933415651321e-05,1.466932008042931557e-03,7.469009957276284695e-03,2.524109301157295704e-02,6.531107798218727112e-02,1.461292770691215992e-01,2.686034910148009658e-01
9.271898306906223297e-05,1.403275062330067158e-03,7.218742975965142250e-03,2.547642705030739307e-02,6.514953100122511387e-02,1.503922669216990471e-01,2.691346770152449608e-01
9.888596832752227783e-05,1.434415928088128567e-03,7.385193952359259129e-03,2.523289201781153679e-02,6.517057598102837801e-02,1.507838289253413677e-01,3.416191400028765202e-01
9.712798055261373520e-05,1.427635084837675095e-03,7.547580054961144924e-03,2.516630501486361027e-02,6.572847499046474695e-02,1.489833079976961017e-01,2.706253409851342440e-01
