1.000000000000000000e+01,2.000000000000000000e+01,3.000000000000000000e+01,4.000000000000000000e+01,5.000000000000000000e+01,6.000000000000000000e+01
4.762485995888710022e-02,1.376526921987533569e+00,2.172040558897424489e+01,1.131157119930721819e+02,4.077760901860892773e+02,1.227235626391018741e+03
3.450299007818102837e-02,1.380019341013394296e+00,2.167920589097775519e+01,1.121695877949241549e+02,4.015274305279599503e+02,1.226818785009090789e+03
3.444676601793617010e-02,1.374681376968510449e+00,2.167488250602036715e+01,1.121794358650222421e+02,4.014192747910274193e+02,1.223921626228955574e+03
3.444395295809954405e-02,1.378217541030608118e+00,2.162796205398626626e+01,1.121631628359900787e+02,4.022831689380109310e+02,1.225063755857991055e+03
3.517528693191707134e-02,1.378444264992140234e+00,2.166812911990564317e+01,1.121824561490211636e+02,4.022532988029997796e+02,1.212489773784065619e+03
3.499381698202341795e-02,1.380088601959869266e+00,2.172499554802197963e+01,1.121064831080147997e+02,4.024708318250486627e+02,1.213039234391995706e+03
3.469457407481968403e-02,1.374371035024523735e+00,2.176233328797388822e+01,1.124256731260102242e+02,4.025310185999842361e+02,1.227685650449013337e+03
3.495281899813562632e-02,1.371468828991055489e+00,2.172269437997601926e+01,1.122971297020558268e+02,4.025989825179567561e+02,1.237265787385054864e+03
3.525205806363373995e-02,1.371390816057100892e+00,2.165594644402153790e+01,1.123670686769764870e+02,4.031967920390889049e+02,1.240550229284912348e+03
3.423658094834536314e-02,1.365354286972433329e+00,2.154030218697153032e+01,1.123792233839631081e+02,4.024697851641103625e+02,1.236871814650017768e+03
